CD-GEOID,bg-boundary,bg-member
6098,26,36
6998,32,52
7898,46,86
6698,50,218
1198,45,450
5600,45,410
5000,94,522
1000,86,572
200,180,533
3800,82,572
4401,138,421
4402,107,401
4600,85,654
1501,65,422
1502,187,426
3302,142,468
3301,115,453
3000,77,842
1602,59,530
1601,90,435
2301,176,517
2302,161,562
3502,77,506
3501,62,468
3503,93,504
3102,38,573
3101,85,483
3103,103,580
4902,76,417
4904,97,394
4903,93,458
4901,43,433
3202,38,493
3203,52,403
3204,81,444
3201,83,513
5401,152,588
5403,126,517
5402,127,487
2003,47,547
2002,98,583
2004,42,564
2001,78,664
903,110,535
902,107,496
901,111,537
905,136,507
7298,215,2550
503,94,457
501,127,608
904,93,516
504,125,605
502,54,494
1904,91,755
1901,106,636
1903,66,599
2803,137,559
2804,102,516
1902,119,640
2802,108,612
2801,97,492
4102,99,572
4103,82,550
4101,95,464
4104,69,584
4105,121,484
4004,97,564
4002,102,602
4003,106,597
4005,92,690
4001,76,526
4505,114,430
4506,218,550
4504,60,415
4501,134,395
4503,83,461
4507,84,460
4502,132,419
807,85,499
805,37,440
806,112,471
803,60,551
804,95,516
801,137,585
802,98,511
2204,107,598
2202,225,799
2205,141,580
2206,162,465
2201,170,580
2203,50,525
2102,124,513
2104,140,500
2101,143,596
2105,110,611
2106,63,520
2103,43,565
104,123,551
102,123,526
101,91,438
103,106,468
105,69,426
107,199,636
106,140,450
403,137,441
405,79,425
407,85,446
408,83,488
409,140,509
402,85,517
401,111,493
406,74,519
404,138,418
2407,191,659
2405,139,408
2402,236,515
2406,164,479
2403,345,547
2404,184,454
2401,188,508
2408,164,528
2703,100,473
2706,104,391
2708,121,588
2707,138,618
2702,69,384
2701,84,550
2705,87,627
2704,56,493
4709,77,528
4702,81,423
4704,123,406
4706,96,421
4705,49,520
4707,123,418
4701,89,464
4708,110,492
4703,112,503
5501,109,559
5504,121,674
5502,65,486
2901,82,708
5508,114,529
5505,155,562
5507,129,613
5506,146,554
5503,152,567
2904,111,539
2902,124,470
2906,133,612
2903,150,468
2905,112,654
2907,60,506
2908,106,634
2504,149,475
2501,82,579
2502,88,514
2503,103,495
2509,206,598
2506,130,531
2507,169,620
2505,166,615
2508,176,604
5306,186,515
5301,144,491
5304,53,464
5310,123,459
5305,53,489
5307,111,549
5303,76,496
5308,138,475
5309,128,503
5302,192,467
1806,97,567
1804,87,522
1808,96,645
1802,80,587
1807,76,520
1805,88,445
1801,60,495
1803,63,576
1809,88,499
5106,98,503
5111,162,433
5105,132,519
5109,130,582
5108,78,530
5101,194,439
5103,204,573
5104,125,457
5102,177,520
5107,115,407
5110,148,434
1313,115,307
1301,88,465
1310,104,403
1312,91,465
1302,120,529
1306,101,362
1308,115,465
1314,84,393
1303,111,366
1305,87,493
1309,97,403
1304,95,344
1307,88,308
1311,109,336
3401,67,537
3410,178,644
3403,117,479
3402,141,528
3405,146,592
3412,134,464
3411,126,526
3406,160,519
3404,137,472
3409,131,609
3407,148,483
3408,159,529
3712,279,536
3710,110,546
3702,181,448
3711,106,531
3705,173,527
3713,252,419
3706,224,515
3709,182,447
3701,312,595
3708,138,500
3707,177,482
3703,281,506
3704,248,456
2613,185,796
2607,130,556
2614,215,722
2609,151,654
2604,118,551
2611,169,490
2608,115,518
2602,114,486
2612,113,592
2605,126,641
2603,131,509
2606,86,575
2610,154,496
2601,226,629
3914,143,514
3910,47,555
3901,157,554
3906,217,644
3902,173,601
3916,203,501
3913,212,680
3903,171,601
3904,160,624
3908,105,587
3915,219,552
3912,187,522
3907,192,549
3911,195,784
3909,247,695
3905,154,596
1716,138,607
1718,188,610
1703,212,563
1712,97,598
1706,213,477
1705,244,617
1709,177,569
1707,240,638
1713,165,626
1702,121,579
1701,239,627
1711,134,445
1717,188,714
1714,160,346
1708,174,489
1704,257,560
1715,147,681
1710,124,448
4209,152,549
4206,169,427
4212,163,546
4208,76,431
4203,151,589
4207,273,491
4213,197,557
4205,130,585
4204,89,503
4210,175,582
4211,138,556
4214,149,737
4217,169,568
4215,104,474
4218,140,513
4216,125,462
4202,126,691
4201,224,629
1227,109,492
1225,97,331
1217,130,482
1204,152,386
1223,125,448
1203,89,402
1206,105,405
1207,75,359
1211,69,391
1202,82,467
1218,75,416
1210,120,329
1224,105,456
1212,104,453
1222,213,548
1208,64,415
1219,109,566
1205,249,434
1215,99,439
1209,61,179
1214,144,605
1213,100,546
1216,55,456
1226,105,418
1201,59,438
1221,108,395
1220,184,421
3603,145,579
3618,96,541
3604,99,613
3615,61,588
3610,218,581
3621,129,601
3602,85,510
3627,126,520
3614,123,557
3624,69,568
3608,154,628
3620,69,575
3606,104,579
3616,84,591
3612,122,604
3619,147,645
3613,89,509
3611,148,556
3607,234,599
3609,130,593
3601,96,495
3623,128,642
3605,111,586
3617,80,492
3626,70,674
3625,44,590
3622,89,626
4828,136,391
4832,171,532
4834,104,421
4827,139,526
4830,140,492
4818,184,441
4805,157,481
4821,228,465
4835,248,493
4820,141,452
4812,145,495
4816,48,452
4829,157,419
4824,117,500
4809,123,374
4802,181,355
4811,100,586
4833,242,547
4826,70,385
4803,69,444
4806,137,434
4804,100,510
4836,123,461
4814,93,514
4813,72,597
4822,97,279
4817,94,460
4823,174,442
4815,130,356
4807,139,383
4825,198,455
4801,82,490
4831,60,425
4810,193,389
4819,57,578
4808,82,332
626,61,371
652,89,453
621,106,399
632,87,439
603,89,499
617,83,408
630,99,436
644,100,472
647,122,498
645,70,438
653,129,459
613,60,588
609,51,395
625,67,343
616,71,419
633,191,530
608,86,400
649,81,404
601,76,573
635,83,372
642,89,325
604,86,484
650,95,379
614,94,462
624,73,488
623,122,409
629,72,428
622,92,432
631,108,407
611,68,484
602,114,555
636,40,348
637,118,547
607,93,446
641,60,367
638,122,491
605,73,525
610,46,405
651,93,396
620,66,446
634,86,439
648,104,480
639,103,431
612,60,509
618,115,505
615,48,406
646,82,385
643,95,479
619,70,405
627,110,513
640,120,456
628,113,528
606,87,472